kic,bjd0,period
KIC 5440746,54964.94461,0.4826538
KIC 5444392,54954.915115,1.5195284
KIC 5450322,54965.004225,0.4240191
KIC 5450814,54970.623912,6.4875325
KIC 5458880,54976.059892,3.5116889
KIC 5459373,54964.670887,0.2866088
KIC 5461570,55000.155857,0.5076606
KIC 5462901,55006.081319,5.2707264
KIC 5468295,54964.782285,0.3520118
KIC 5471619,54965.198253,0.9628354
KIC 5473556,54956.478952,11.2588244
KIC 5474733,55066.460374,0.8837752
KIC 5475624,55279.978167,1.0698434
KIC 5475712,54967.174359,2.9918851
KIC 5477805,55067.660282,5.0067095
KIC 5478466,54964.857262,0.4825013
KIC 5479973,54964.869626,1.7952732
KIC 5481426,55002.1902,4.7681028
KIC 5511076,54999.687125,6.5131991
KIC 5513861,54954.995935,1.5102117
KIC 5524325,54999.679313,0.6249787
KIC 5527172,54975.414638,3.1839666
KIC 5529643,54964.790332,0.7597663
KIC 5530881,54965.96077,5.0825222
KIC 5534702,54965.634507,1.0254659
KIC 5534814,54996.290569,9.7187752
KIC 5535061,54954.051273,0.4634302
KIC 5543482,55000.186215,0.2948275
KIC 5546761,54964.588566,17.6706523
KIC 5557368,54953.768264,0.2979309
KIC 5560831,54999.871366,0.867721
KIC 5563814,54964.683004,0.3082342
KIC 5565486,55001.432884,2.8250473
KIC 5567438,54964.989528,0.5845398
KIC 5596440,54973.696864,10.4748568
KIC 5597970,54956.7744,6.7173843
KIC 5598639,54955.013385,1.2975514
KIC 5606644,54999.672477,0.8619311
KIC 5608566,54965.450439,4.396997
KIC 5610698,54965.89133,4.1325281
KIC 5611561,55000.00942,0.2586947
KIC 5611763,55000.103112,0.361605
KIC 5615528,54964.771134,0.3391748
KIC 5615815,55000.135248,0.6742496
KIC 5617953,55002.067477,0.298696
KIC 5620981,54964.759352,0.3335163
KIC 5621294,54954.510518,0.9389049
KIC 5622250,54976.192955,16.2942135
KIC 5623774,54964.773587,1.1336299
KIC 5623923,54999.527782,1.2087496
KIC 5632781,54975.739951,11.0252022
KIC 5636642,54999.628184,0.9335
KIC 5642620,54965.065125,0.986791
KIC 5647008,54965.008851,0.7998617
KIC 5648449,54960.906937,4.3488637
KIC 5649206,54998.774821,4.893474
KIC 5649956,55003.957982,2.41574
KIC 5652260,55001.010589,8.92926
KIC 5685072,54964.626512,0.2559051
KIC 5696909,54964.687693,0.6430031
KIC 5699617,54964.792095,0.2889166
KIC 5702939,54996.298368,18.3982007
KIC 5703230,54954.358193,0.7314739
KIC 5707897,54998.254127,8.4160911
KIC 5716244,54965.785021,1.3303328
KIC 5716763,54953.978797,0.6406607
KIC 5728139,54964.980826,10.668165
KIC 5728283,55003.981305,6.1982793
KIC 5730394,55000.566806,5.5191777
KIC 5731312,54968.093163,7.9463824
KIC 5733384,55003.51199,1.5467094
KIC 5735878,54966.17441,16.8320824
KIC 5736461,55006.619726,7.3461642
KIC 5736537,54965.954593,1.7615295
KIC 5737474,55000.019889,0.3979422
KIC 5738506,55002.990756,9.5014787
KIC 5738698,54956.591698,4.8087739
KIC 5768927,54956.769334,4.3905116
KIC 5770431,54953.923385,0.3924365
KIC 5770860,54965.270153,0.7375618
KIC 5771589,54962.116764,10.7391422
KIC 5771719,54972.304212,12.264877
KIC 5773205,55000.123267,0.2668707
KIC 5774375,54965.677949,1.5499774
KIC 5781192,54961.882581,9.4599934
KIC 5783368,54999.466516,1.8638734
KIC 5783676,54964.498776,0.4014453
KIC 5785551,55002.019292,0.2666875
KIC 5785586,54964.816145,0.4596214
KIC 5786545,55001.987489,0.2805751
KIC 5790912,54964.715689,0.3833172
KIC 5791886,54999.992375,0.3251705
KIC 5792093,54964.643362,0.6005881
KIC 5795648,54954.773067,4.5533695
KIC 5796675,54967.517223,16.0806761
KIC 5801571,54965.31282,1.6771942
KIC 5802285,54964.9844,2.4170498
KIC 5802470,54967.133705,3.7918726
KIC 5802486,55003.405755,2.1478398
KIC 5802834,54954.476652,1.0924429
KIC 5807579,54966.693941,17.8443251
KIC 5809827,54965.492031,1.22211
KIC 5809868,54964.797027,0.4393902
KIC 5816806,55003.096188,4.4554359
KIC 5817566,54961.017551,8.4121982
KIC 5818706,55003.064617,14.9599406
KIC 5820209,54964.813901,0.6560869
KIC 5821050,54953.930478,1.9333686
KIC 5823121,54965.628732,2.2980007
KIC 5858519,55000.473253,4.1825
KIC 5871918,54972.75983,12.6432974
KIC 5872506,55000.424875,2.1260885
KIC 5872696,54953.79871,0.1726132
KIC 5876360,54999.817075,1.0508445
KIC 5876805,55188.230522,18.1730361
KIC 5878081,54999.857562,0.5911339
KIC 5878836,55002.150031,0.3548794
KIC 5880320,54973.212603,12.1096393
KIC 5881838,55005.795225,0.3003313
KIC 5887316,54964.667064,0.6030807
KIC 5891963,54949.819126,0.28196
KIC 5903301,55003.423122,2.3203301
KIC 5942093,55008.011703,14.3873075
KIC 5944240,54999.591219,2.5532224
KIC 5951553,54965.011318,0.4319709
KIC 5952403,54965.197892,0.9056778
KIC 5955321,54975.752564,11.6378818
KIC 5955731,54954.553889,1.0038296
KIC 5956588,55001.906729,0.2729067
KIC 5956776,55000.303505,0.569115
KIC 5957123,55000.98644,2.8229754
KIC 5960283,55110.101764,0.2496681
KIC 5961327,54964.708008,0.299202
KIC 5961350,54958.099691,5.2626684
KIC 5962514,54999.878941,1.580099
KIC 5962716,54965.389949,1.8046081
KIC 5965819,55143.757424,8.2400554
KIC 5966237,55000.083643,0.3975826
KIC 5975712,54953.90719,1.1360932
KIC 5977736,55003.038327,1.5791302
KIC 5978521,54964.694901,0.6081507
KIC 5979863,54966.551875,16.6218542
KIC 5980800,55002.0335,0.4141629
KIC 5983351,55001.958846,0.3211848
KIC 5984000,54964.653132,0.3230583
KIC 5988465,54960.118623,7.0565264
KIC 5990753,55002.947127,7.2165917
KIC 5991936,55007.926256,0.8074357
KIC 6024572,54964.652469,0.4149096
KIC 6025466,54953.774098,1.1278008
KIC 6026204,54953.943599,2.2798149
KIC 6028860,55003.147571,0.8440331
KIC 6029130,54967.742093,12.591632
KIC 6029214,54954.334142,0.8190664
KIC 6034812,54953.667262,0.3673068
KIC 6042031,54964.565621,0.5371037
KIC 6042116,54958.780702,5.4071576
KIC 6044064,54966.7011,5.0632068
KIC 6044543,54964.913241,0.532086
KIC 6045264,54965.634157,0.9093104
KIC 6046061,54919.45441,0.2972557
KIC 6047498,54964.601927,1.037445
KIC 6048106,54999.843039,1.5593608
KIC 6050116,54964.708006,0.2399081
KIC 6056992,54966.935237,10.431153
KIC 6057829,54954.079203,0.4834268
KIC 6058614,55004.131839,1.7310801
KIC 6058875,55002.072583,1.1298682
KIC 6060580,54954.632263,2.3133689
KIC 6061139,54964.913384,0.3224413
KIC 6066379,54999.810009,1.3038602
KIC 6067735,54953.695499,0.4461815
KIC 6072195,55000.994686,2.8001229
